Model,Asset,Value,What
MLPClassifier,ETHUSDT_1d,"{1: 0.7733333333333333, 0: 0.22666666666666666}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,ETHUSDT_1d,0.38772617394295267,F1 VALIDATION
MLPClassifier,ETHUSDT_1d,"{1: 0.72, 0: 0.28}",DESBALANCEO REAL VAL
MLPClassifier,ETHUSDT_1d,"{1: 0.7066666666666667, 0: 0.29333333333333333}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,ETHUSDT_1d,0.5,FINAL TEST
MLPClassifier,ETHUSDT_1d,0.48371630527784415,F1 FINAL TEST
MLPClassifier,ETHUSDT_1d,"{1: 0.5136612021857924, 0: 0.48633879781420764}",DESBALANCEO REAL
MLPClassifier,ETHUSDT_1d,"{1: 0.6639344262295082, 0: 0.3360655737704918}",DESBALANCEO PREDICCIÓN
MLPClassifier,XRPUSDT_1d,0.4336378184165344,F1 VALIDATION
MLPClassifier,XRPUSDT_1d,"{1: 0.6, 0: 0.4}",DESBALANCEO REAL VAL
MLPClassifier,XRPUSDT_1d,"{0: 0.8933333333333333, 1: 0.10666666666666667}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,XRPUSDT_1d,0.40993439011922767,F1 VALIDATION
MLPClassifier,XRPUSDT_1d,"{1: 0.6, 0: 0.4}",DESBALANCEO REAL VAL
MLPClassifier,XRPUSDT_1d,"{0: 0.9866666666666667, 1: 0.013333333333333334}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,XRPUSDT_1d,0.32992522462994867,F1 VALIDATION
MLPClassifier,XRPUSDT_1d,"{1: 0.6, 0: 0.4}",DESBALANCEO REAL VAL
MLPClassifier,XRPUSDT_1d,{0: 1.0},DESBALANCEO PREDICCIÓN VAL
MLPClassifier,XRPUSDT_1d,0.4450513617552171,F1 VALIDATION
MLPClassifier,XRPUSDT_1d,"{1: 0.6, 0: 0.4}",DESBALANCEO REAL VAL
MLPClassifier,XRPUSDT_1d,"{0: 0.76, 1: 0.24}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,XRPUSDT_1d,0.31706840912265494,F1 VALIDATION
MLPClassifier,XRPUSDT_1d,"{1: 0.6, 0: 0.4}",DESBALANCEO REAL VAL
MLPClassifier,XRPUSDT_1d,{1: 1.0},DESBALANCEO PREDICCIÓN VAL
MLPClassifier,XRPUSDT_1d,0.33669656880143317,F1 VALIDATION
MLPClassifier,XRPUSDT_1d,"{1: 0.6, 0: 0.4}",DESBALANCEO REAL VAL
MLPClassifier,XRPUSDT_1d,"{0: 0.84, 1: 0.16}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,XRPUSDT_1d,0.3502836951467455,F1 VALIDATION
MLPClassifier,XRPUSDT_1d,"{1: 0.6, 0: 0.4}",DESBALANCEO REAL VAL
MLPClassifier,XRPUSDT_1d,{0: 1.0},DESBALANCEO PREDICCIÓN VAL
MLPClassifier,XRPUSDT_1d,0.37164738475612413,F1 VALIDATION
MLPClassifier,XRPUSDT_1d,"{1: 0.6, 0: 0.4}",DESBALANCEO REAL VAL
MLPClassifier,XRPUSDT_1d,{0: 1.0},DESBALANCEO PREDICCIÓN VAL
MLPClassifier,XRPUSDT_1d,0.42307886060107885,F1 VALIDATION
MLPClassifier,XRPUSDT_1d,"{1: 0.6, 0: 0.4}",DESBALANCEO REAL VAL
MLPClassifier,XRPUSDT_1d,{0: 1.0},DESBALANCEO PREDICCIÓN VAL
MLPClassifier,XRPUSDT_1d,0.31706840912265494,F1 VALIDATION
MLPClassifier,XRPUSDT_1d,"{1: 0.6, 0: 0.4}",DESBALANCEO REAL VAL
MLPClassifier,XRPUSDT_1d,{1: 1.0},DESBALANCEO PREDICCIÓN VAL
MLPClassifier,XRPUSDT_1d,0.5300546448087432,FINAL TEST
MLPClassifier,XRPUSDT_1d,0.5203730228872703,F1 FINAL TEST
MLPClassifier,XRPUSDT_1d,"{0: 0.505464480874317, 1: 0.49453551912568305}",DESBALANCEO REAL
MLPClassifier,XRPUSDT_1d,"{0: 0.6366120218579235, 1: 0.3633879781420765}",DESBALANCEO PREDICCIÓN
MLPClassifier,BNBUSDT_1d,0.4084663307129202,F1 VALIDATION
MLPClassifier,BNBUSDT_1d,"{1: 0.7066666666666667, 0: 0.29333333333333333}",DESBALANCEO REAL VAL
MLPClassifier,BNBUSDT_1d,"{1: 0.8133333333333334, 0: 0.18666666666666668}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,BNBUSDT_1d,0.4469708702056834,F1 VALIDATION
MLPClassifier,BNBUSDT_1d,"{1: 0.7066666666666667, 0: 0.29333333333333333}",DESBALANCEO REAL VAL
MLPClassifier,BNBUSDT_1d,"{1: 0.64, 0: 0.36}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,BNBUSDT_1d,0.3709028691222086,F1 VALIDATION
MLPClassifier,BNBUSDT_1d,"{1: 0.7066666666666667, 0: 0.29333333333333333}",DESBALANCEO REAL VAL
MLPClassifier,BNBUSDT_1d,"{0: 0.6133333333333333, 1: 0.38666666666666666}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,BNBUSDT_1d,0.3773567392179931,F1 VALIDATION
MLPClassifier,BNBUSDT_1d,"{1: 0.7066666666666667, 0: 0.29333333333333333}",DESBALANCEO REAL VAL
MLPClassifier,BNBUSDT_1d,"{1: 0.9066666666666666, 0: 0.09333333333333334}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,BNBUSDT_1d,0.3307895974319852,F1 VALIDATION
MLPClassifier,BNBUSDT_1d,"{1: 0.7066666666666667, 0: 0.29333333333333333}",DESBALANCEO REAL VAL
MLPClassifier,BNBUSDT_1d,{1: 1.0},DESBALANCEO PREDICCIÓN VAL
MLPClassifier,BNBUSDT_1d,0.35882090993320953,F1 VALIDATION
MLPClassifier,BNBUSDT_1d,"{1: 0.7066666666666667, 0: 0.29333333333333333}",DESBALANCEO REAL VAL
MLPClassifier,BNBUSDT_1d,"{1: 0.64, 0: 0.36}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,BNBUSDT_1d,0.35436376376104783,F1 VALIDATION
MLPClassifier,BNBUSDT_1d,"{1: 0.7066666666666667, 0: 0.29333333333333333}",DESBALANCEO REAL VAL
MLPClassifier,BNBUSDT_1d,"{1: 0.9466666666666667, 0: 0.05333333333333334}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,BNBUSDT_1d,0.3307895974319852,F1 VALIDATION
MLPClassifier,BNBUSDT_1d,"{1: 0.7066666666666667, 0: 0.29333333333333333}",DESBALANCEO REAL VAL
MLPClassifier,BNBUSDT_1d,{1: 1.0},DESBALANCEO PREDICCIÓN VAL
MLPClassifier,BNBUSDT_1d,0.3784724736638516,F1 VALIDATION
MLPClassifier,BNBUSDT_1d,"{1: 0.7066666666666667, 0: 0.29333333333333333}",DESBALANCEO REAL VAL
MLPClassifier,BNBUSDT_1d,"{1: 0.8133333333333334, 0: 0.18666666666666668}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,BNBUSDT_1d,0.33445806251970156,F1 VALIDATION
MLPClassifier,BNBUSDT_1d,"{1: 0.7066666666666667, 0: 0.29333333333333333}",DESBALANCEO REAL VAL
MLPClassifier,BNBUSDT_1d,"{1: 0.5333333333333333, 0: 0.4666666666666667}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,BNBUSDT_1d,0.5355191256830601,FINAL TEST
MLPClassifier,BNBUSDT_1d,0.3487544483985765,F1 FINAL TEST
MLPClassifier,BNBUSDT_1d,"{1: 0.5382513661202186, 0: 0.46174863387978143}",DESBALANCEO REAL
MLPClassifier,BNBUSDT_1d,"{1: 0.9972677595628415, 0: 0.00273224043715847}",DESBALANCEO PREDICCIÓN
MLPClassifier,SOLUSDT_1d,0.39278491326607473,F1 VALIDATION
MLPClassifier,SOLUSDT_1d,"{1: 0.8533333333333334, 0: 0.14666666666666667}",DESBALANCEO REAL VAL
MLPClassifier,SOLUSDT_1d,"{1: 0.7866666666666666, 0: 0.21333333333333335}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,SOLUSDT_1d,0.40283269731399524,F1 VALIDATION
MLPClassifier,SOLUSDT_1d,"{1: 0.8533333333333334, 0: 0.14666666666666667}",DESBALANCEO REAL VAL
MLPClassifier,SOLUSDT_1d,"{0: 0.6933333333333334, 1: 0.30666666666666664}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,SOLUSDT_1d,0.33987746077044517,F1 VALIDATION
MLPClassifier,SOLUSDT_1d,"{1: 0.8533333333333334, 0: 0.14666666666666667}",DESBALANCEO REAL VAL
