Frequency,Asset,Model,Accuracy,Vald/Test
4h,SOLUSDT_4h,MLPClassifier,"{1: 0.5172413793103449, 0: 0.4827586206896552}",DESBALANCEO REAL VAL
4h,SOLUSDT_4h,MLPClassifier,"{0: 0.5172413793103449, 1: 0.4827586206896552}",DESBALANCEO PREDICCIÓN VAL
4h,SOLUSDT_4h,MLPClassifier,0.5093564582382474,FINAL TEST
4h,SOLUSDT_4h,MLPClassifier,0.4837459398549471,F1 FINAL TEST
4h,SOLUSDT_4h,MLPClassifier,"{1: 0.5038795070743952, 0: 0.49612049292560473}",DESBALANCEO REAL
4h,SOLUSDT_4h,MLPClassifier,"{0: 0.7266088544043816, 1: 0.27339114559561845}",DESBALANCEO PREDICCIÓN
4h,ADAUSDT_4h,MLPClassifier,0.4038460200847841,F1 VALIDATION
4h,ADAUSDT_4h,MLPClassifier,"{0: 0.6206896551724138, 1: 0.3793103448275862}",DESBALANCEO REAL VAL
4h,ADAUSDT_4h,MLPClassifier,"{0: 0.8275862068965517, 1: 0.1724137931034483}",DESBALANCEO PREDICCIÓN VAL
4h,ADAUSDT_4h,MLPClassifier,0.525330899132816,FINAL TEST
4h,ADAUSDT_4h,MLPClassifier,0.46981246218995765,F1 FINAL TEST
4h,ADAUSDT_4h,MLPClassifier,"{0: 0.5203103605659516, 1: 0.47968963943404835}",DESBALANCEO REAL
4h,ADAUSDT_4h,MLPClassifier,"{0: 0.8032861706983113, 1: 0.19671382930168874}",DESBALANCEO PREDICCIÓN
4h,TRXUSDT_4h,MLPClassifier,0.46158132663764784,F1 VALIDATION
4h,TRXUSDT_4h,MLPClassifier,"{1: 0.8620689655172413, 0: 0.13793103448275862}",DESBALANCEO REAL VAL
4h,TRXUSDT_4h,MLPClassifier,"{1: 0.896551724137931, 0: 0.10344827586206896}",DESBALANCEO PREDICCIÓN VAL
4h,TRXUSDT_4h,MLPClassifier,0.5326335006846189,FINAL TEST
4h,TRXUSDT_4h,MLPClassifier,0.4584325425561703,F1 FINAL TEST
4h,TRXUSDT_4h,MLPClassifier,"{1: 0.5358283888635327, 0: 0.4641716111364674}",DESBALANCEO REAL
4h,TRXUSDT_4h,MLPClassifier,"{1: 0.8343222272934733, 0: 0.1656777727065267}",DESBALANCEO PREDICCIÓN
4h,LINKUSDT_4h,MLPClassifier,0.34634077226217685,F1 VALIDATION
4h,LINKUSDT_4h,MLPClassifier,"{0: 0.6551724137931034, 1: 0.3448275862068966}",DESBALANCEO REAL VAL
4h,LINKUSDT_4h,MLPClassifier,{1: 1.0},DESBALANCEO PREDICCIÓN VAL
4h,LINKUSDT_4h,MLPClassifier,0.48881789137380194,FINAL TEST
4h,LINKUSDT_4h,MLPClassifier,0.43343916868455706,F1 FINAL TEST
4h,LINKUSDT_4h,MLPClassifier,"{0: 0.5143769968051118, 1: 0.48562300319488816}",DESBALANCEO REAL
4h,LINKUSDT_4h,MLPClassifier,"{1: 0.8270196257416704, 0: 0.17298037425832952}",DESBALANCEO PREDICCIÓN
4h,AVAXUSDT_4h,MLPClassifier,0.2906795020733074,F1 VALIDATION
