Model,Asset,Accuracy,What
MLPClassifier,BTCUSDT_4h,0.3528329378452627,F1 VALIDATION
MLPClassifier,BTCUSDT_4h,"{1: 0.5172413793103449, 0: 0.4827586206896552}",DESBALANCEO REAL VAL
MLPClassifier,BTCUSDT_4h,{1: 1.0},DESBALANCEO PREDICCIÓN VAL
MLPClassifier,BTCUSDT_4h,0.46097672295755365,FINAL TEST
MLPClassifier,BTCUSDT_4h,0.3155263980006248,F1 FINAL TEST
MLPClassifier,BTCUSDT_4h,"{1: 0.5390232770424463, 0: 0.46097672295755365}",DESBALANCEO REAL
MLPClassifier,BTCUSDT_4h,{0: 1.0},DESBALANCEO PREDICCIÓN
MLPClassifier,ETHUSDT_4h,0.33711399188111874,F1 VALIDATION
MLPClassifier,ETHUSDT_4h,"{0: 0.6206896551724138, 1: 0.3793103448275862}",DESBALANCEO REAL VAL
MLPClassifier,ETHUSDT_4h,{1: 1.0},DESBALANCEO PREDICCIÓN VAL
MLPClassifier,ETHUSDT_4h,0.5107256960292104,FINAL TEST
MLPClassifier,ETHUSDT_4h,0.4584035861203859,F1 FINAL TEST
MLPClassifier,ETHUSDT_4h,"{1: 0.52259242355089, 0: 0.47740757644910997}",DESBALANCEO REAL
MLPClassifier,ETHUSDT_4h,"{1: 0.7882245549977179, 0: 0.21177544500228207}",DESBALANCEO PREDICCIÓN
MLPClassifier,XRPUSDT_4h,0.4301785364548941,F1 VALIDATION
MLPClassifier,XRPUSDT_4h,"{0: 0.6896551724137931, 1: 0.3103448275862069}",DESBALANCEO REAL VAL
MLPClassifier,XRPUSDT_4h,"{0: 0.8275862068965517, 1: 0.1724137931034483}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,XRPUSDT_4h,0.5079872204472844,FINAL TEST
MLPClassifier,XRPUSDT_4h,0.34015168785424377,F1 FINAL TEST
MLPClassifier,XRPUSDT_4h,"{1: 0.5061615700593336, 0: 0.49383842994066635}",DESBALANCEO REAL
MLPClassifier,XRPUSDT_4h,"{1: 0.9981743496120493, 0: 0.0018256503879507074}",DESBALANCEO PREDICCIÓN
MLPClassifier,BNBUSDT_4h,0.42455683096788954,F1 VALIDATION
MLPClassifier,BNBUSDT_4h,"{0: 0.6206896551724138, 1: 0.3793103448275862}",DESBALANCEO REAL VAL
MLPClassifier,BNBUSDT_4h,"{1: 0.6896551724137931, 0: 0.3103448275862069}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,BNBUSDT_4h,0.5157462345960748,FINAL TEST
MLPClassifier,BNBUSDT_4h,0.5152793338083267,F1 FINAL TEST
MLPClassifier,BNBUSDT_4h,"{1: 0.536741214057508, 0: 0.46325878594249204}",DESBALANCEO REAL
