Frequency,Asset,Model,Accuracy,IN/OUT Sample
1d,ADABTC_1d,MLP,0.5535378835316218,IN-SAMPLE
1d,ADAUSDT_1d,MLP,0.6224170319348779,IN-SAMPLE
1d,SOLUSDT_1d,MLP,0.5510331872260489,IN-SAMPLE
1d,SOLBTC_1d,MLP,0.567313713212273,IN-SAMPLE
1d,BTCUSDT_1d,OLS,0.4875,OUT-SAMPLE
1d,LTCBTC_1d,OLS,0.54375,OUT-SAMPLE
1d,BNBUSDT_1d,OLS,0.496875,OUT-SAMPLE
1d,BNBBTC_1d,OLS,0.49375,OUT-SAMPLE
1d,LTCUSDT_1d,OLS,0.465625,OUT-SAMPLE
1d,ADABTC_1d,OLS,0.465625,OUT-SAMPLE
1d,ADAUSDT_1d,OLS,0.48125,OUT-SAMPLE
1d,SOLUSDT_1d,OLS,0.4625,OUT-SAMPLE
1d,SOLBTC_1d,OLS,0.459375,OUT-SAMPLE
1d,BTCUSDT_1d,MLP,0.50625,OUT-SAMPLE
1d,LTCBTC_1d,MLP,0.465625,OUT-SAMPLE
1d,BNBUSDT_1d,MLP,0.475,OUT-SAMPLE
1d,BNBBTC_1d,MLP,0.515625,OUT-SAMPLE
1d,LTCUSDT_1d,MLP,0.540625,OUT-SAMPLE
1d,ADABTC_1d,MLP,0.5375,OUT-SAMPLE
1d,ADAUSDT_1d,MLP,0.5375,OUT-SAMPLE
1d,SOLUSDT_1d,MLP,0.515625,OUT-SAMPLE
1d,SOLBTC_1d,MLP,0.490625,OUT-SAMPLE
