Model,Asset,Accuracy,What
MLPClassifier,LINKUSDT_1h,0.5074767391887512,F1 FINAL TEST
MLPClassifier,LINKUSDT_1h,"{0: 0.5116995776737815, 1: 0.48830042232621845}",DESBALANCEO REAL
MLPClassifier,LINKUSDT_1h,"{0: 0.6598561808012784, 1: 0.3401438191987216}",DESBALANCEO PREDICCIÓN
MLPClassifier,AVAXUSDT_1h,0.42650551034297735,F1 VALIDATION
MLPClassifier,AVAXUSDT_1h,"{0: 0.5079365079365079, 1: 0.49206349206349204}",DESBALANCEO REAL VAL
MLPClassifier,AVAXUSDT_1h,{1: 1.0},DESBALANCEO PREDICCIÓN VAL
MLPClassifier,AVAXUSDT_1h,0.5135258532131035,FINAL TEST
MLPClassifier,AVAXUSDT_1h,0.33929110105580695,F1 FINAL TEST
MLPClassifier,AVAXUSDT_1h,"{0: 0.5135258532131035, 1: 0.4864741467868965}",DESBALANCEO REAL
MLPClassifier,AVAXUSDT_1h,{0: 1.0},DESBALANCEO PREDICCIÓN
RandomForestClassifier,BTCUSDT_1h,0.5227928266306041,F1 VALIDATION
RandomForestClassifier,BTCUSDT_1h,"{1: 0.5317460317460317, 0: 0.46825396825396826}",DESBALANCEO REAL VAL
RandomForestClassifier,BTCUSDT_1h,"{0: 0.5, 1: 0.5}",DESBALANCEO PREDICCIÓN VAL
RandomForestClassifier,BTCUSDT_1h,0.5131834265494807,FINAL TEST
RandomForestClassifier,BTCUSDT_1h,0.512449131825863,F1 FINAL TEST
RandomForestClassifier,BTCUSDT_1h,"{1: 0.5111288665677434, 0: 0.4888711334322566}",DESBALANCEO REAL
RandomForestClassifier,BTCUSDT_1h,"{0: 0.5499372217783358, 1: 0.4500627782216642}",DESBALANCEO PREDICCIÓN
RandomForestClassifier,ETHUSDT_1h,0.5088575676656495,F1 VALIDATION
RandomForestClassifier,ETHUSDT_1h,"{1: 0.5317460317460317, 0: 0.46825396825396826}",DESBALANCEO REAL VAL
RandomForestClassifier,ETHUSDT_1h,"{1: 0.5555555555555556, 0: 0.4444444444444444}",DESBALANCEO PREDICCIÓN VAL
RandomForestClassifier,ETHUSDT_1h,0.5127268576646502,FINAL TEST
RandomForestClassifier,ETHUSDT_1h,0.512591497319858,F1 FINAL TEST
RandomForestClassifier,ETHUSDT_1h,"{1: 0.5079328843739299, 0: 0.4920671156260701}",DESBALANCEO REAL
RandomForestClassifier,ETHUSDT_1h,"{0: 0.5245976486702432, 1: 0.4754023513297569}",DESBALANCEO PREDICCIÓN
RandomForestClassifier,XRPUSDT_1h,0.5404307227930927,F1 VALIDATION
RandomForestClassifier,XRPUSDT_1h,"{1: 0.5476190476190477, 0: 0.4523809523809524}",DESBALANCEO REAL VAL
RandomForestClassifier,XRPUSDT_1h,"{1: 0.5714285714285714, 0: 0.42857142857142855}",DESBALANCEO PREDICCIÓN VAL
RandomForestClassifier,XRPUSDT_1h,0.522200662024883,FINAL TEST
RandomForestClassifier,XRPUSDT_1h,0.522183175407146,F1 FINAL TEST
RandomForestClassifier,XRPUSDT_1h,"{1: 0.502454057755964, 0: 0.4975459422440361}",DESBALANCEO REAL
RandomForestClassifier,XRPUSDT_1h,"{0: 0.508503595479968, 1: 0.49149640452003196}",DESBALANCEO PREDICCIÓN
RandomForestClassifier,BNBUSDT_1h,0.5240838323604315,F1 VALIDATION
RandomForestClassifier,BNBUSDT_1h,"{1: 0.5158730158730159, 0: 0.48412698412698413}",DESBALANCEO REAL VAL
RandomForestClassifier,BNBUSDT_1h,"{1: 0.6349206349206349, 0: 0.36507936507936506}",DESBALANCEO PREDICCIÓN VAL
RandomForestClassifier,BNBUSDT_1h,0.5098733021344596,FINAL TEST
RandomForestClassifier,BNBUSDT_1h,0.5098132127564339,F1 FINAL TEST
RandomForestClassifier,BNBUSDT_1h,"{1: 0.5145531332039721, 0: 0.48544686679602783}",DESBALANCEO REAL
RandomForestClassifier,BNBUSDT_1h,"{0: 0.5256249286611118, 1: 0.47437507133888823}",DESBALANCEO PREDICCIÓN
RandomForestClassifier,SOLUSDT_1h,0.5237880476906143,F1 VALIDATION
RandomForestClassifier,SOLUSDT_1h,"{1: 0.5476190476190477, 0: 0.4523809523809524}",DESBALANCEO REAL VAL
RandomForestClassifier,SOLUSDT_1h,"{0: 0.5952380952380952, 1: 0.40476190476190477}",DESBALANCEO PREDICCIÓN VAL
RandomForestClassifier,SOLUSDT_1h,0.5190046798310695,FINAL TEST
RandomForestClassifier,SOLUSDT_1h,0.5159409068748384,F1 FINAL TEST
RandomForestClassifier,SOLUSDT_1h,"{1: 0.5053076132861546, 0: 0.49469238671384547}",DESBALANCEO REAL
RandomForestClassifier,SOLUSDT_1h,"{0: 0.5848647414678689, 1: 0.415135258532131}",DESBALANCEO PREDICCIÓN
RandomForestClassifier,ADAUSDT_1h,0.5162902485446228,F1 VALIDATION
RandomForestClassifier,ADAUSDT_1h,"{1: 0.5238095238095238, 0: 0.47619047619047616}",DESBALANCEO REAL VAL
RandomForestClassifier,ADAUSDT_1h,"{0: 0.7063492063492064, 1: 0.29365079365079366}",DESBALANCEO PREDICCIÓN VAL
RandomForestClassifier,ADAUSDT_1h,0.5057641821709851,FINAL TEST
RandomForestClassifier,ADAUSDT_1h,0.5046740796644826,F1 FINAL TEST
RandomForestClassifier,ADAUSDT_1h,"{0: 0.5064490354982308, 1: 0.4935509645017692}",DESBALANCEO REAL
RandomForestClassifier,ADAUSDT_1h,"{0: 0.540463417418103, 1: 0.45953658258189706}",DESBALANCEO PREDICCIÓN
RandomForestClassifier,TRXUSDT_1h,0.5175149491088777,F1 VALIDATION
RandomForestClassifier,TRXUSDT_1h,"{1: 0.5952380952380952, 0: 0.40476190476190477}",DESBALANCEO REAL VAL
RandomForestClassifier,TRXUSDT_1h,"{0: 0.5396825396825397, 1: 0.4603174603174603}",DESBALANCEO PREDICCIÓN VAL
RandomForestClassifier,TRXUSDT_1h,0.5045086177377012,FINAL TEST
RandomForestClassifier,TRXUSDT_1h,0.5030662528964718,F1 FINAL TEST
RandomForestClassifier,TRXUSDT_1h,"{1: 0.5171784042917476, 0: 0.4828215957082525}",DESBALANCEO REAL
RandomForestClassifier,TRXUSDT_1h,"{1: 0.5366967241182513, 0: 0.46330327588174863}",DESBALANCEO PREDICCIÓN
RandomForestClassifier,LINKUSDT_1h,0.4866885501696025,F1 VALIDATION
RandomForestClassifier,LINKUSDT_1h,"{1: 0.5317460317460317, 0: 0.46825396825396826}",DESBALANCEO REAL VAL
RandomForestClassifier,LINKUSDT_1h,"{0: 0.7142857142857143, 1: 0.2857142857142857}",DESBALANCEO PREDICCIÓN VAL
RandomForestClassifier,LINKUSDT_1h,0.5192329642734848,FINAL TEST
RandomForestClassifier,LINKUSDT_1h,0.5186946342727762,F1 FINAL TEST
RandomForestClassifier,LINKUSDT_1h,"{0: 0.5116995776737815, 1: 0.48830042232621845}",DESBALANCEO REAL
RandomForestClassifier,LINKUSDT_1h,"{0: 0.5217440931400525, 1: 0.4782559068599475}",DESBALANCEO PREDICCIÓN
RandomForestClassifier,AVAXUSDT_1h,0.5409625314231807,F1 VALIDATION
RandomForestClassifier,AVAXUSDT_1h,"{0: 0.5079365079365079, 1: 0.49206349206349204}",DESBALANCEO REAL VAL
RandomForestClassifier,AVAXUSDT_1h,"{0: 0.5714285714285714, 1: 0.42857142857142855}",DESBALANCEO PREDICCIÓN VAL
RandomForestClassifier,AVAXUSDT_1h,0.5029106266407944,FINAL TEST
RandomForestClassifier,AVAXUSDT_1h,0.5010847511607865,F1 FINAL TEST
RandomForestClassifier,AVAXUSDT_1h,"{0: 0.5135258532131035, 1: 0.4864741467868965}",DESBALANCEO REAL
RandomForestClassifier,AVAXUSDT_1h,"{0: 0.5469695240269375, 1: 0.45303047597306245}",DESBALANCEO PREDICCIÓN
GradientBoostingClassifier,BTCUSDT_1h,0.516807884939797,F1 VALIDATION
GradientBoostingClassifier,BTCUSDT_1h,"{1: 0.5317460317460317, 0: 0.46825396825396826}",DESBALANCEO REAL VAL
