Model,Asset,Value,What
MLPClassifier,BTCUSDT_4h,0.3387417256305197,F1 VALIDATION
MLPClassifier,BTCUSDT_4h,"{0: 0.544, 1: 0.456}",DESBALANCEO REAL VAL
MLPClassifier,BTCUSDT_4h,{1: 1.0},DESBALANCEO PREDICCIÓN VAL
MLPClassifier,BTCUSDT_4h,0.3417497470208941,F1 VALIDATION
MLPClassifier,BTCUSDT_4h,"{0: 0.544, 1: 0.456}",DESBALANCEO REAL VAL
MLPClassifier,BTCUSDT_4h,{1: 1.0},DESBALANCEO PREDICCIÓN VAL
MLPClassifier,BTCUSDT_4h,0.3319702403879105,F1 VALIDATION
MLPClassifier,BTCUSDT_4h,"{0: 0.544, 1: 0.456}",DESBALANCEO REAL VAL
MLPClassifier,BTCUSDT_4h,{1: 1.0},DESBALANCEO PREDICCIÓN VAL
MLPClassifier,BTCUSDT_4h,0.3690736889839603,F1 VALIDATION
MLPClassifier,BTCUSDT_4h,"{0: 0.544, 1: 0.456}",DESBALANCEO REAL VAL
MLPClassifier,BTCUSDT_4h,{1: 1.0},DESBALANCEO PREDICCIÓN VAL
MLPClassifier,BTCUSDT_4h,0.46712828434716885,F1 VALIDATION
MLPClassifier,BTCUSDT_4h,"{0: 0.544, 1: 0.456}",DESBALANCEO REAL VAL
MLPClassifier,BTCUSDT_4h,"{1: 0.632, 0: 0.368}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,BTCUSDT_4h,0.3366997841027475,F1 VALIDATION
MLPClassifier,BTCUSDT_4h,"{0: 0.544, 1: 0.456}",DESBALANCEO REAL VAL
MLPClassifier,BTCUSDT_4h,{1: 1.0},DESBALANCEO PREDICCIÓN VAL
MLPClassifier,BTCUSDT_4h,0.4702956150477872,F1 VALIDATION
MLPClassifier,BTCUSDT_4h,"{0: 0.544, 1: 0.456}",DESBALANCEO REAL VAL
MLPClassifier,BTCUSDT_4h,"{1: 0.504, 0: 0.496}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,BTCUSDT_4h,0.3730852007749402,F1 VALIDATION
MLPClassifier,BTCUSDT_4h,"{0: 0.544, 1: 0.456}",DESBALANCEO REAL VAL
MLPClassifier,BTCUSDT_4h,"{1: 0.696, 0: 0.304}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,BTCUSDT_4h,0.3366997841027475,F1 VALIDATION
MLPClassifier,BTCUSDT_4h,"{0: 0.544, 1: 0.456}",DESBALANCEO REAL VAL
MLPClassifier,BTCUSDT_4h,{1: 1.0},DESBALANCEO PREDICCIÓN VAL
MLPClassifier,BTCUSDT_4h,0.37995043929566236,F1 VALIDATION
MLPClassifier,BTCUSDT_4h,"{0: 0.544, 1: 0.456}",DESBALANCEO REAL VAL
MLPClassifier,BTCUSDT_4h,"{1: 0.992, 0: 0.008}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,BTCUSDT_4h,0.5166590597900502,FINAL TEST
MLPClassifier,BTCUSDT_4h,0.4024109920965139,F1 FINAL TEST
MLPClassifier,BTCUSDT_4h,"{1: 0.5221360109539023, 0: 0.47786398904609767}",DESBALANCEO REAL
MLPClassifier,BTCUSDT_4h,"{1: 0.9151072569602922, 0: 0.0848927430397079}",DESBALANCEO PREDICCIÓN
MLPClassifier,ETHUSDT_4h,0.33309565389691415,F1 VALIDATION
MLPClassifier,ETHUSDT_4h,"{1: 0.512, 0: 0.488}",DESBALANCEO REAL VAL
MLPClassifier,ETHUSDT_4h,{1: 1.0},DESBALANCEO PREDICCIÓN VAL
MLPClassifier,ETHUSDT_4h,0.34184134511607234,F1 VALIDATION
