Model,Asset,Accuracy,What
MLPClassifier,BTCUSDT_1d,0.3288070860447337,F1 VALIDATION
MLPClassifier,BTCUSDT_1d,"{1: 0.6049382716049383, 0: 0.3950617283950617}",DESBALANCEO REAL VAL
MLPClassifier,BTCUSDT_1d,{0: 1.0},DESBALANCEO PREDICCIÓN VAL
MLPClassifier,BTCUSDT_1d,0.4808743169398907,FINAL TEST
MLPClassifier,BTCUSDT_1d,0.3292824074074074,F1 FINAL TEST
MLPClassifier,BTCUSDT_1d,"{1: 0.5218579234972678, 0: 0.4781420765027322}",DESBALANCEO REAL
MLPClassifier,BTCUSDT_1d,"{0: 0.9972677595628415, 1: 0.00273224043715847}",DESBALANCEO PREDICCIÓN
MLPClassifier,ETHUSDT_1d,0.4227765696017972,F1 VALIDATION
MLPClassifier,ETHUSDT_1d,"{1: 0.6172839506172839, 0: 0.38271604938271603}",DESBALANCEO REAL VAL
MLPClassifier,ETHUSDT_1d,"{1: 0.8148148148148148, 0: 0.18518518518518517}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,ETHUSDT_1d,0.5,FINAL TEST
MLPClassifier,ETHUSDT_1d,0.45878550361601556,F1 FINAL TEST
MLPClassifier,ETHUSDT_1d,"{1: 0.5191256830601093, 0: 0.4808743169398907}",DESBALANCEO REAL
MLPClassifier,ETHUSDT_1d,"{1: 0.7568306010928961, 0: 0.24316939890710382}",DESBALANCEO PREDICCIÓN
MLPClassifier,XRPUSDT_1d,0.4177411213609733,F1 VALIDATION
MLPClassifier,XRPUSDT_1d,"{1: 0.6049382716049383, 0: 0.3950617283950617}",DESBALANCEO REAL VAL
MLPClassifier,XRPUSDT_1d,"{0: 0.8518518518518519, 1: 0.14814814814814814}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,XRPUSDT_1d,0.5081967213114754,FINAL TEST
MLPClassifier,XRPUSDT_1d,0.35129386742289964,F1 FINAL TEST
MLPClassifier,XRPUSDT_1d,"{1: 0.5081967213114754, 0: 0.4918032786885246}",DESBALANCEO REAL
MLPClassifier,XRPUSDT_1d,"{1: 0.9836065573770492, 0: 0.01639344262295082}",DESBALANCEO PREDICCIÓN
MLPClassifier,BNBUSDT_1d,0.37145038863811897,F1 VALIDATION
MLPClassifier,BNBUSDT_1d,"{1: 0.6049382716049383, 0: 0.3950617283950617}",DESBALANCEO REAL VAL
MLPClassifier,BNBUSDT_1d,{1: 1.0},DESBALANCEO PREDICCIÓN VAL
MLPClassifier,BNBUSDT_1d,0.5191256830601093,FINAL TEST
MLPClassifier,BNBUSDT_1d,0.34172661870503596,F1 FINAL TEST
MLPClassifier,BNBUSDT_1d,"{1: 0.5191256830601093, 0: 0.4808743169398907}",DESBALANCEO REAL
MLPClassifier,BNBUSDT_1d,{1: 1.0},DESBALANCEO PREDICCIÓN
MLPClassifier,SOLUSDT_1d,0.4107079833735744,F1 VALIDATION
MLPClassifier,SOLUSDT_1d,"{1: 0.5802469135802469, 0: 0.41975308641975306}",DESBALANCEO REAL VAL
