Model,Asset,Value,What
MLPClassifier,BTCUSDT_1h,0.5160061269593933,F1 VALIDATION
MLPClassifier,BTCUSDT_1h,"{1: 0.5317460317460317, 0: 0.46825396825396826}",DESBALANCEO REAL VAL
MLPClassifier,BTCUSDT_1h,"{1: 0.5634920634920635, 0: 0.4365079365079365}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,BTCUSDT_1h,0.3874864905763302,F1 VALIDATION
MLPClassifier,BTCUSDT_1h,"{1: 0.5317460317460317, 0: 0.46825396825396826}",DESBALANCEO REAL VAL
MLPClassifier,BTCUSDT_1h,"{1: 0.7063492063492064, 0: 0.29365079365079366}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,BTCUSDT_1h,0.4396803804686501,F1 VALIDATION
MLPClassifier,BTCUSDT_1h,"{1: 0.5317460317460317, 0: 0.46825396825396826}",DESBALANCEO REAL VAL
MLPClassifier,BTCUSDT_1h,{1: 1.0},DESBALANCEO PREDICCIÓN VAL
MLPClassifier,BTCUSDT_1h,0.5003894279455678,F1 VALIDATION
MLPClassifier,BTCUSDT_1h,"{1: 0.5317460317460317, 0: 0.46825396825396826}",DESBALANCEO REAL VAL
MLPClassifier,BTCUSDT_1h,"{1: 0.6031746031746031, 0: 0.3968253968253968}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,BTCUSDT_1h,0.4798743617060463,F1 VALIDATION
MLPClassifier,BTCUSDT_1h,"{1: 0.5317460317460317, 0: 0.46825396825396826}",DESBALANCEO REAL VAL
MLPClassifier,BTCUSDT_1h,"{0: 0.746031746031746, 1: 0.25396825396825395}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,BTCUSDT_1h,0.4113245020526177,F1 VALIDATION
MLPClassifier,BTCUSDT_1h,"{1: 0.5317460317460317, 0: 0.46825396825396826}",DESBALANCEO REAL VAL
MLPClassifier,BTCUSDT_1h,"{1: 0.8650793650793651, 0: 0.1349206349206349}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,BTCUSDT_1h,0.4435338935155605,F1 VALIDATION
MLPClassifier,BTCUSDT_1h,"{1: 0.5317460317460317, 0: 0.46825396825396826}",DESBALANCEO REAL VAL
MLPClassifier,BTCUSDT_1h,"{1: 0.7698412698412699, 0: 0.23015873015873015}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,BTCUSDT_1h,0.477762871253821,F1 VALIDATION
MLPClassifier,BTCUSDT_1h,"{1: 0.5317460317460317, 0: 0.46825396825396826}",DESBALANCEO REAL VAL
MLPClassifier,BTCUSDT_1h,"{0: 0.6111111111111112, 1: 0.3888888888888889}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,BTCUSDT_1h,0.460432770828061,F1 VALIDATION
MLPClassifier,BTCUSDT_1h,"{1: 0.5317460317460317, 0: 0.46825396825396826}",DESBALANCEO REAL VAL
MLPClassifier,BTCUSDT_1h,"{0: 0.6825396825396826, 1: 0.31746031746031744}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,BTCUSDT_1h,0.36227791488078653,F1 VALIDATION
MLPClassifier,BTCUSDT_1h,"{1: 0.5317460317460317, 0: 0.46825396825396826}",DESBALANCEO REAL VAL
MLPClassifier,BTCUSDT_1h,{1: 1.0},DESBALANCEO PREDICCIÓN VAL
MLPClassifier,BTCUSDT_1h,0.5144389909827646,FINAL TEST
MLPClassifier,BTCUSDT_1h,0.4890481490003854,F1 FINAL TEST
MLPClassifier,BTCUSDT_1h,"{1: 0.5111288665677434, 0: 0.4888711334322566}",DESBALANCEO REAL
MLPClassifier,BTCUSDT_1h,"{1: 0.7117908914507476, 0: 0.28820910854925236}",DESBALANCEO PREDICCIÓN
MLPClassifier,ETHUSDT_1h,0.4609354768204314,F1 VALIDATION
MLPClassifier,ETHUSDT_1h,"{1: 0.5317460317460317, 0: 0.46825396825396826}",DESBALANCEO REAL VAL
MLPClassifier,ETHUSDT_1h,"{1: 0.8412698412698413, 0: 0.15873015873015872}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,ETHUSDT_1h,0.42247078913812947,F1 VALIDATION
MLPClassifier,ETHUSDT_1h,"{1: 0.5317460317460317, 0: 0.46825396825396826}",DESBALANCEO REAL VAL
MLPClassifier,ETHUSDT_1h,{1: 1.0},DESBALANCEO PREDICCIÓN VAL
MLPClassifier,ETHUSDT_1h,0.4919846045985099,F1 VALIDATION
MLPClassifier,ETHUSDT_1h,"{1: 0.5317460317460317, 0: 0.46825396825396826}",DESBALANCEO REAL VAL
MLPClassifier,ETHUSDT_1h,"{0: 0.5, 1: 0.5}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,ETHUSDT_1h,0.5406206420952766,F1 VALIDATION
MLPClassifier,ETHUSDT_1h,"{1: 0.5317460317460317, 0: 0.46825396825396826}",DESBALANCEO REAL VAL
MLPClassifier,ETHUSDT_1h,"{1: 0.5238095238095238, 0: 0.47619047619047616}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,ETHUSDT_1h,0.44369359586025137,F1 VALIDATION
MLPClassifier,ETHUSDT_1h,"{1: 0.5317460317460317, 0: 0.46825396825396826}",DESBALANCEO REAL VAL
MLPClassifier,ETHUSDT_1h,"{0: 0.746031746031746, 1: 0.25396825396825395}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,ETHUSDT_1h,0.4940472671394224,F1 VALIDATION
MLPClassifier,ETHUSDT_1h,"{1: 0.5317460317460317, 0: 0.46825396825396826}",DESBALANCEO REAL VAL
MLPClassifier,ETHUSDT_1h,"{0: 0.6031746031746031, 1: 0.3968253968253968}",DESBALANCEO PREDICCIÓN VAL
