Model,Asset,Accuracy,What
MLPClassifier,BTCUSDT_4h,0.3387993449896436,F1 VALIDATION
MLPClassifier,BTCUSDT_4h,"{1: 0.5142857142857142, 0: 0.4857142857142857}",DESBALANCEO REAL VAL
MLPClassifier,BTCUSDT_4h,{1: 1.0},DESBALANCEO PREDICCIÓN VAL
MLPClassifier,BTCUSDT_4h,0.5221360109539023,FINAL TEST
MLPClassifier,BTCUSDT_4h,0.3430284857571214,F1 FINAL TEST
MLPClassifier,BTCUSDT_4h,"{1: 0.5221360109539023, 0: 0.47786398904609767}",DESBALANCEO REAL
MLPClassifier,BTCUSDT_4h,{1: 1.0},DESBALANCEO PREDICCIÓN
MLPClassifier,ETHUSDT_4h,0.4067648334725732,F1 VALIDATION
MLPClassifier,ETHUSDT_4h,"{1: 0.5142857142857142, 0: 0.4857142857142857}",DESBALANCEO REAL VAL
MLPClassifier,ETHUSDT_4h,"{1: 0.7142857142857143, 0: 0.2857142857142857}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,ETHUSDT_4h,0.5029666818804199,FINAL TEST
MLPClassifier,ETHUSDT_4h,0.40684519821596066,F1 FINAL TEST
MLPClassifier,ETHUSDT_4h,"{1: 0.5061615700593336, 0: 0.49383842994066635}",DESBALANCEO REAL
MLPClassifier,ETHUSDT_4h,"{1: 0.8963943404837974, 0: 0.10360565951620265}",DESBALANCEO PREDICCIÓN
MLPClassifier,XRPUSDT_4h,0.3220673480377937,F1 VALIDATION
MLPClassifier,XRPUSDT_4h,"{0: 0.5142857142857142, 1: 0.4857142857142857}",DESBALANCEO REAL VAL
MLPClassifier,XRPUSDT_4h,{0: 1.0},DESBALANCEO PREDICCIÓN VAL
MLPClassifier,XRPUSDT_4h,0.4984025559105431,FINAL TEST
MLPClassifier,XRPUSDT_4h,0.41623575657177797,F1 FINAL TEST
MLPClassifier,XRPUSDT_4h,"{1: 0.5047923322683706, 0: 0.4952076677316294}",DESBALANCEO REAL
MLPClassifier,XRPUSDT_4h,"{0: 0.879963486992241, 1: 0.12003651300775901}",DESBALANCEO PREDICCIÓN
MLPClassifier,BNBUSDT_4h,0.39626465235956954,F1 VALIDATION
MLPClassifier,BNBUSDT_4h,"{1: 0.5714285714285714, 0: 0.42857142857142855}",DESBALANCEO REAL VAL
MLPClassifier,BNBUSDT_4h,"{0: 0.7428571428571429, 1: 0.2571428571428571}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,BNBUSDT_4h,0.5006846188954815,FINAL TEST
MLPClassifier,BNBUSDT_4h,0.4258517773306506,F1 FINAL TEST
MLPClassifier,BNBUSDT_4h,"{1: 0.5152898219990871, 0: 0.4847101780009128}",DESBALANCEO REAL
MLPClassifier,BNBUSDT_4h,"{1: 0.8457325422181652, 0: 0.1542674577818348}",DESBALANCEO PREDICCIÓN
MLPClassifier,SOLUSDT_4h,0.4488623929389745,F1 VALIDATION
MLPClassifier,SOLUSDT_4h,"{1: 0.5428571428571428, 0: 0.45714285714285713}",DESBALANCEO REAL VAL
MLPClassifier,SOLUSDT_4h,"{0: 0.9714285714285714, 1: 0.02857142857142857}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,SOLUSDT_4h,0.4851665905979005,FINAL TEST
MLPClassifier,SOLUSDT_4h,0.3786947261724477,F1 FINAL TEST
MLPClassifier,SOLUSDT_4h,"{1: 0.5134641716111364, 0: 0.48653582838886356}",DESBALANCEO REAL
MLPClassifier,SOLUSDT_4h,"{0: 0.9274303970789594, 1: 0.07256960292104062}",DESBALANCEO PREDICCIÓN
MLPClassifier,ADAUSDT_4h,0.47792319566513114,F1 VALIDATION
MLPClassifier,ADAUSDT_4h,"{0: 0.5142857142857142, 1: 0.4857142857142857}",DESBALANCEO REAL VAL
MLPClassifier,ADAUSDT_4h,"{1: 0.5714285714285714, 0: 0.42857142857142855}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,ADAUSDT_4h,0.5020538566864445,FINAL TEST
MLPClassifier,ADAUSDT_4h,0.3342449103615922,F1 FINAL TEST
MLPClassifier,ADAUSDT_4h,"{1: 0.5020538566864445, 0: 0.49794614331355547}",DESBALANCEO REAL
MLPClassifier,ADAUSDT_4h,{1: 1.0},DESBALANCEO PREDICCIÓN
MLPClassifier,TRXUSDT_4h,0.4307205193751328,F1 VALIDATION
MLPClassifier,TRXUSDT_4h,"{1: 0.6285714285714286, 0: 0.37142857142857144}",DESBALANCEO REAL VAL
MLPClassifier,TRXUSDT_4h,"{1: 0.8285714285714286, 0: 0.17142857142857143}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,TRXUSDT_4h,0.5385668644454586,FINAL TEST
MLPClassifier,TRXUSDT_4h,0.35004449718184516,F1 FINAL TEST
MLPClassifier,TRXUSDT_4h,"{1: 0.5385668644454586, 0: 0.4614331355545413}",DESBALANCEO REAL
MLPClassifier,TRXUSDT_4h,{1: 1.0},DESBALANCEO PREDICCIÓN
MLPClassifier,LINKUSDT_4h,0.4169354903301339,F1 VALIDATION
MLPClassifier,LINKUSDT_4h,"{1: 0.5142857142857142, 0: 0.4857142857142857}",DESBALANCEO REAL VAL
MLPClassifier,LINKUSDT_4h,"{0: 0.8571428571428571, 1: 0.14285714285714285}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,LINKUSDT_4h,0.5029666818804199,FINAL TEST
MLPClassifier,LINKUSDT_4h,0.3434381347031065,F1 FINAL TEST
MLPClassifier,LINKUSDT_4h,"{1: 0.5029666818804199, 0: 0.4970333181195801}",DESBALANCEO REAL
MLPClassifier,LINKUSDT_4h,"{1: 0.9899589228662711, 0: 0.010041077133728891}",DESBALANCEO PREDICCIÓN
MLPClassifier,AVAXUSDT_4h,0.3225191996083079,F1 VALIDATION
MLPClassifier,AVAXUSDT_4h,"{0: 0.5428571428571428, 1: 0.45714285714285713}",DESBALANCEO REAL VAL
MLPClassifier,AVAXUSDT_4h,{0: 1.0},DESBALANCEO PREDICCIÓN VAL
MLPClassifier,AVAXUSDT_4h,0.48060246462802375,FINAL TEST
