Frequency,Asset,Model,Accuracy,Vald/Test
1h,BTCUSDT_1h,MLPClassifier,0.5204322811812572,F1 VALIDATION
1h,BTCUSDT_1h,MLPClassifier,"{1: 0.5317460317460317, 0: 0.46825396825396826}",DESBALANCEO REAL VAL
1h,BTCUSDT_1h,MLPClassifier,"{1: 0.5079365079365079, 0: 0.49206349206349204}",DESBALANCEO PREDICCIÓN VAL
1h,BTCUSDT_1h,MLPClassifier,0.515808697637256,FINAL TEST
1h,BTCUSDT_1h,MLPClassifier,0.5141817168934663,F1 FINAL TEST
1h,BTCUSDT_1h,MLPClassifier,"{1: 0.5111288665677434, 0: 0.4888711334322566}",DESBALANCEO REAL
1h,BTCUSDT_1h,MLPClassifier,"{0: 0.5689989727200091, 1: 0.43100102727999084}",DESBALANCEO PREDICCIÓN
1h,ETHUSDT_1h,MLPClassifier,0.4996030346909809,F1 VALIDATION
1h,ETHUSDT_1h,MLPClassifier,"{1: 0.5317460317460317, 0: 0.46825396825396826}",DESBALANCEO REAL VAL
1h,ETHUSDT_1h,MLPClassifier,"{0: 0.5158730158730159, 1: 0.48412698412698413}",DESBALANCEO PREDICCIÓN VAL
1h,ETHUSDT_1h,MLPClassifier,0.5237986531217897,FINAL TEST
1h,ETHUSDT_1h,MLPClassifier,0.5237249300394407,F1 FINAL TEST
1h,ETHUSDT_1h,MLPClassifier,"{1: 0.5079328843739299, 0: 0.4920671156260701}",DESBALANCEO REAL
1h,ETHUSDT_1h,MLPClassifier,"{0: 0.520374386485561, 1: 0.479625613514439}",DESBALANCEO PREDICCIÓN
1h,XRPUSDT_1h,MLPClassifier,0.39494535464657454,F1 VALIDATION
1h,XRPUSDT_1h,MLPClassifier,"{1: 0.5476190476190477, 0: 0.4523809523809524}",DESBALANCEO REAL VAL
1h,XRPUSDT_1h,MLPClassifier,"{1: 0.7142857142857143, 0: 0.2857142857142857}",DESBALANCEO PREDICCIÓN VAL
1h,XRPUSDT_1h,MLPClassifier,0.509416733249629,FINAL TEST
1h,XRPUSDT_1h,MLPClassifier,0.4076732835244269,F1 FINAL TEST
1h,XRPUSDT_1h,MLPClassifier,"{1: 0.502454057755964, 0: 0.4975459422440361}",DESBALANCEO REAL
1h,XRPUSDT_1h,MLPClassifier,"{0: 0.9169044629608493, 1: 0.08309553703915078}",DESBALANCEO PREDICCIÓN
1h,BNBUSDT_1h,MLPClassifier,0.44073650964247735,F1 VALIDATION
1h,BNBUSDT_1h,MLPClassifier,"{1: 0.5158730158730159, 0: 0.48412698412698413}",DESBALANCEO REAL VAL
1h,BNBUSDT_1h,MLPClassifier,"{0: 0.9444444444444444, 1: 0.05555555555555555}",DESBALANCEO PREDICCIÓN VAL
1h,BNBUSDT_1h,MLPClassifier,0.5035954799680402,FINAL TEST
1h,BNBUSDT_1h,MLPClassifier,0.44530710878010055,F1 FINAL TEST
1h,BNBUSDT_1h,MLPClassifier,"{1: 0.5145531332039721, 0: 0.48544686679602783}",DESBALANCEO REAL
1h,BNBUSDT_1h,MLPClassifier,"{0: 0.8387170414336264, 1: 0.1612829585663737}",DESBALANCEO PREDICCIÓN
1h,SOLUSDT_1h,MLPClassifier,0.4454043953242245,F1 VALIDATION
1h,SOLUSDT_1h,MLPClassifier,"{1: 0.5476190476190477, 0: 0.4523809523809524}",DESBALANCEO REAL VAL
1h,SOLUSDT_1h,MLPClassifier,{1: 1.0},DESBALANCEO PREDICCIÓN VAL
1h,SOLUSDT_1h,MLPClassifier,0.49469238671384547,FINAL TEST
1h,SOLUSDT_1h,MLPClassifier,0.3343367981678095,F1 FINAL TEST
1h,SOLUSDT_1h,MLPClassifier,"{1: 0.5053076132861546, 0: 0.49469238671384547}",DESBALANCEO REAL
1h,SOLUSDT_1h,MLPClassifier,"{0: 0.9961191644789408, 1: 0.0038808355210592396}",DESBALANCEO PREDICCIÓN
1h,ADAUSDT_1h,MLPClassifier,0.4495771841261239,F1 VALIDATION
1h,ADAUSDT_1h,MLPClassifier,"{1: 0.5238095238095238, 0: 0.47619047619047616}",DESBALANCEO REAL VAL
1h,ADAUSDT_1h,MLPClassifier,"{0: 0.8015873015873016, 1: 0.1984126984126984}",DESBALANCEO PREDICCIÓN VAL
1h,ADAUSDT_1h,MLPClassifier,0.5059924666134002,FINAL TEST
1h,ADAUSDT_1h,MLPClassifier,0.4889253708490089,F1 FINAL TEST
1h,ADAUSDT_1h,MLPClassifier,"{0: 0.5064490354982308, 1: 0.4935509645017692}",DESBALANCEO REAL
1h,ADAUSDT_1h,MLPClassifier,"{1: 0.6891907316516379, 0: 0.31080926834836203}",DESBALANCEO PREDICCIÓN
1h,TRXUSDT_1h,MLPClassifier,0.5043731036138276,F1 VALIDATION
1h,TRXUSDT_1h,MLPClassifier,"{1: 0.5952380952380952, 0: 0.40476190476190477}",DESBALANCEO REAL VAL
1h,TRXUSDT_1h,MLPClassifier,"{1: 0.5396825396825397, 0: 0.4603174603174603}",DESBALANCEO PREDICCIÓN VAL
1h,TRXUSDT_1h,MLPClassifier,0.5170642620705399,FINAL TEST
