Frequency,Asset,Model,Value,What
1h,global,RandomForestClassifier,0.522010582010582,ACC VALIDATION
1h,global,RandomForestClassifier,0.5198801406677419,F1 VALIDATION
1h,global,RandomForestClassifier,"{0: 0.524074074074074, 1: 0.4759259259259259}",DESBALANCEO REAL VAL
1h,global,RandomForestClassifier,"{1: 0.5185185185185185, 0: 0.48148148148148145}",DESBALANCEO PREDICCIÓN VAL
1h,global,RandomForestClassifier,0.5148148148148148,ACC VALIDATION
1h,global,RandomForestClassifier,0.5117180856609194,F1 VALIDATION
1h,global,RandomForestClassifier,"{0: 0.524074074074074, 1: 0.4759259259259259}",DESBALANCEO REAL VAL
1h,global,RandomForestClassifier,"{0: 0.5287037037037037, 1: 0.47129629629629627}",DESBALANCEO PREDICCIÓN VAL
1h,global,RandomForestClassifier,0.5076455026455027,ACC VALIDATION
1h,global,RandomForestClassifier,0.5044929921640893,F1 VALIDATION
1h,global,RandomForestClassifier,"{0: 0.524074074074074, 1: 0.4759259259259259}",DESBALANCEO REAL VAL
1h,global,RandomForestClassifier,"{0: 0.5425925925925926, 1: 0.45740740740740743}",DESBALANCEO PREDICCIÓN VAL
1h,global,RandomForestClassifier,0.5138095238095237,ACC VALIDATION
1h,global,RandomForestClassifier,0.5106118212688662,F1 VALIDATION
1h,global,RandomForestClassifier,"{0: 0.524074074074074, 1: 0.4759259259259259}",DESBALANCEO REAL VAL
1h,global,RandomForestClassifier,"{0: 0.5564814814814815, 1: 0.44351851851851853}",DESBALANCEO PREDICCIÓN VAL
1h,global,RandomForestClassifier,0.5160449735449735,ACC VALIDATION
1h,global,RandomForestClassifier,0.5129761057290743,F1 VALIDATION
1h,global,RandomForestClassifier,"{0: 0.524074074074074, 1: 0.4759259259259259}",DESBALANCEO REAL VAL
1h,global,RandomForestClassifier,"{0: 0.5546296296296296, 1: 0.44537037037037036}",DESBALANCEO PREDICCIÓN VAL
1h,global,RandomForestClassifier,0.5138492063492064,ACC VALIDATION
1h,global,RandomForestClassifier,0.5131529284671605,F1 VALIDATION
1h,global,RandomForestClassifier,"{0: 0.524074074074074, 1: 0.4759259259259259}",DESBALANCEO REAL VAL
1h,global,RandomForestClassifier,"{1: 0.5277777777777778, 0: 0.4722222222222222}",DESBALANCEO PREDICCIÓN VAL
1h,global,RandomForestClassifier,0.5127248677248677,ACC VALIDATION
1h,global,RandomForestClassifier,0.5124194571538914,F1 VALIDATION
1h,global,RandomForestClassifier,"{0: 0.524074074074074, 1: 0.4759259259259259}",DESBALANCEO REAL VAL
1h,global,RandomForestClassifier,"{1: 0.5564814814814815, 0: 0.44351851851851853}",DESBALANCEO PREDICCIÓN VAL
1h,global,RandomForestClassifier,0.5066798941798941,ACC VALIDATION
1h,global,RandomForestClassifier,0.5064721353615862,F1 VALIDATION
1h,global,RandomForestClassifier,"{0: 0.524074074074074, 1: 0.4759259259259259}",DESBALANCEO REAL VAL
1h,global,RandomForestClassifier,"{1: 0.5472222222222223, 0: 0.4527777777777778}",DESBALANCEO PREDICCIÓN VAL
1h,global,RandomForestClassifier,0.4942195767195767,ACC VALIDATION
1h,global,RandomForestClassifier,0.49392560139416625,F1 VALIDATION
1h,global,RandomForestClassifier,"{0: 0.524074074074074, 1: 0.4759259259259259}",DESBALANCEO REAL VAL
1h,global,RandomForestClassifier,"{1: 0.5416666666666666, 0: 0.4583333333333333}",DESBALANCEO PREDICCIÓN VAL
1h,global,RandomForestClassifier,0.5063756613756614,ACC VALIDATION
1h,global,RandomForestClassifier,0.50553714406222,F1 VALIDATION
1h,global,RandomForestClassifier,"{0: 0.524074074074074, 1: 0.4759259259259259}",DESBALANCEO REAL VAL
1h,global,RandomForestClassifier,"{0: 0.5453703703703704, 1: 0.4546296296296296}",DESBALANCEO PREDICCIÓN VAL
1h,global,RandomForestClassifier,0.5078567895597915,ACC FINAL TEST
1h,global,RandomForestClassifier,0.5070005620784264,F1 FINAL TEST
1h,ADAUSDT_1h,RandomForestClassifier,0.5067914621618537,ACC CRYPTO TEST
1h,ADAUSDT_1h,RandomForestClassifier,0.5064086022683052,F1 CRYPTO TEST
1h,ADAUSDT_1h,RandomForestClassifier,"{0: 0.5114712932313663, 1: 0.4885287067686337}",DESBALANCEO REAL
1h,ADAUSDT_1h,RandomForestClassifier,"{0: 0.5163794087432941, 1: 0.48362059125670587}",DESBALANCEO PREDICCIÓN
1h,AVAXUSDT_1h,RandomForestClassifier,0.49902979111973517,ACC CRYPTO TEST
1h,AVAXUSDT_1h,RandomForestClassifier,0.4989536502115093,F1 CRYPTO TEST
1h,AVAXUSDT_1h,RandomForestClassifier,"{0: 0.513982422097934, 1: 0.48601757790206596}",DESBALANCEO REAL
1h,AVAXUSDT_1h,RandomForestClassifier,"{1: 0.5016550622075105, 0: 0.49834493779248945}",DESBALANCEO PREDICCIÓN
1h,BNBUSDT_1h,RandomForestClassifier,0.5098733021344596,ACC CRYPTO TEST
1h,BNBUSDT_1h,RandomForestClassifier,0.508160539835931,F1 CRYPTO TEST
1h,BNBUSDT_1h,RandomForestClassifier,"{1: 0.5252825019974888, 0: 0.4747174980025111}",DESBALANCEO REAL
1h,BNBUSDT_1h,RandomForestClassifier,"{0: 0.5842940303618308, 1: 0.41570596963816914}",DESBALANCEO PREDICCIÓN
1h,BTCUSDT_1h,RandomForestClassifier,0.5168359776281246,ACC CRYPTO TEST
1h,BTCUSDT_1h,RandomForestClassifier,0.5145285386673086,F1 CRYPTO TEST
1h,BTCUSDT_1h,RandomForestClassifier,"{1: 0.5288209108549252, 0: 0.4711790891450748}",DESBALANCEO REAL
1h,BTCUSDT_1h,RandomForestClassifier,"{0: 0.5977628124643306, 1: 0.40223718753566945}",DESBALANCEO PREDICCIÓN
1h,ETHUSDT_1h,RandomForestClassifier,0.5177491153977857,ACC CRYPTO TEST
1h,ETHUSDT_1h,RandomForestClassifier,0.5160834438856636,F1 CRYPTO TEST
1h,ETHUSDT_1h,RandomForestClassifier,"{1: 0.5111288665677434, 0: 0.4888711334322566}",DESBALANCEO REAL
1h,ETHUSDT_1h,RandomForestClassifier,"{0: 0.5697979682684625, 1: 0.4302020317315375}",DESBALANCEO PREDICCIÓN
1h,LINKUSDT_1h,RandomForestClassifier,0.4994863600045657,ACC CRYPTO TEST
1h,LINKUSDT_1h,RandomForestClassifier,0.4992842865827961,F1 CRYPTO TEST
1h,LINKUSDT_1h,RandomForestClassifier,"{0: 0.5056500399497774, 1: 0.4943499600502226}",DESBALANCEO REAL
1h,LINKUSDT_1h,RandomForestClassifier,"{0: 0.5144389909827646, 1: 0.4855610090172355}",DESBALANCEO PREDICCIÓN
1h,SOLUSDT_1h,RandomForestClassifier,0.5091884488072138,ACC CRYPTO TEST
1h,SOLUSDT_1h,RandomForestClassifier,0.5088105685516724,F1 CRYPTO TEST
1h,SOLUSDT_1h,RandomForestClassifier,"{1: 0.5071338888254765, 0: 0.49286611117452345}",DESBALANCEO REAL
1h,SOLUSDT_1h,RandomForestClassifier,"{0: 0.5348704485789293, 1: 0.46512955142107065}",DESBALANCEO PREDICCIÓN
1h,TRXUSDT_1h,RandomForestClassifier,0.4913822622988243,ACC CRYPTO TEST
1h,TRXUSDT_1h,RandomForestClassifier,0.4900187997603446,F1 CRYPTO TEST
1h,TRXUSDT_1h,RandomForestClassifier,"{1: 0.5325876041547769, 0: 0.46741239584522315}",DESBALANCEO REAL
1h,TRXUSDT_1h,RandomForestClassifier,"{0: 0.5842940303618308, 1: 0.41570596963816914}",DESBALANCEO PREDICCIÓN
1h,XRPUSDT_1h,RandomForestClassifier,0.520374386485561,ACC CRYPTO TEST
1h,XRPUSDT_1h,RandomForestClassifier,0.5192323403853422,F1 CRYPTO TEST
1h,XRPUSDT_1h,RandomForestClassifier,"{1: 0.5010843511014724, 0: 0.4989156488985276}",DESBALANCEO REAL
