Model,Asset,Accuracy,IN/OUT Sample
MLPClassifier,BTCUSDT_1h,0.5201818522684664,OUT-SAMPLE
MLPClassifier,ETHUSDT_1h,0.5134608173978252,OUT-SAMPLE
MLPClassifier,XRPUSDT_1h,0.512692163479565,OUT-SAMPLE
MLPClassifier,BNBUSDT_1h,0.5582770903637045,OUT-SAMPLE
MLPClassifier,SOLUSDT_1h,0.4810086239220097,OUT-SAMPLE
MLPClassifier,ADAUSDT_1h,0.5261717285339331,OUT-SAMPLE
MLPClassifier,TRXUSDT_1h,0.5161136107986503,OUT-SAMPLE
MLPClassifier,LINKUSDT_1h,0.5067397825271841,OUT-SAMPLE
MLPClassifier,AVAXUSDT_1h,0.5007499062617173,OUT-SAMPLE
MLPClassifier,BTCUSDT_1h,0.5368110236220472,OUT-SAMPLE
MLPClassifier,ETHUSDT_1h,0.5332770903637046,OUT-SAMPLE
MLPClassifier,XRPUSDT_1h,0.5428383952006,OUT-SAMPLE
MLPClassifier,BNBUSDT_1h,0.5411136107986501,OUT-SAMPLE
MLPClassifier,SOLUSDT_1h,0.5237907761529808,OUT-SAMPLE
MLPClassifier,ADAUSDT_1h,0.5324709411323585,OUT-SAMPLE
MLPClassifier,TRXUSDT_1h,0.5300524934383202,OUT-SAMPLE
MLPClassifier,LINKUSDT_1h,0.493644544431946,OUT-SAMPLE
MLPClassifier,AVAXUSDT_1h,0.5265560554930634,OUT-SAMPLE
MLPClassifier,BTCUSDT_1h,0.5467191601049869,OUT-SAMPLE
MLPClassifier,ETHUSDT_1h,0.5280933633295838,OUT-SAMPLE
MLPClassifier,XRPUSDT_1h,0.519028871391076,OUT-SAMPLE
MLPClassifier,BNBUSDT_1h,0.5044338207724035,OUT-SAMPLE
MLPClassifier,SOLUSDT_1h,0.4893794525684289,OUT-SAMPLE
MLPClassifier,ADAUSDT_1h,0.512270341207349,OUT-SAMPLE
MLPClassifier,TRXUSDT_1h,0.5414979377577802,OUT-SAMPLE
MLPClassifier,LINKUSDT_1h,0.4968691413573303,OUT-SAMPLE
MLPClassifier,AVAXUSDT_1h,0.516994750656168,OUT-SAMPLE
MLPClassifier,BTCUSDT_1h,0.5565523059617548,OUT-SAMPLE
MLPClassifier,ETHUSDT_1h,0.5332395950506188,OUT-SAMPLE
MLPClassifier,XRPUSDT_1h,0.554705661792276,OUT-SAMPLE
MLPClassifier,BNBUSDT_1h,0.5451818522684665,OUT-SAMPLE
MLPClassifier,SOLUSDT_1h,0.5277090363704536,OUT-SAMPLE
MLPClassifier,ADAUSDT_1h,0.5213348331458567,OUT-SAMPLE
MLPClassifier,TRXUSDT_1h,0.5351237345331834,OUT-SAMPLE
MLPClassifier,LINKUSDT_1h,0.5066647919010123,OUT-SAMPLE
MLPClassifier,AVAXUSDT_1h,0.5094675665541807,OUT-SAMPLE
MLPClassifier,BTCUSDT_1h,0.5569741282339707,OUT-SAMPLE
MLPClassifier,ETHUSDT_1h,0.5261342332208473,OUT-SAMPLE
MLPClassifier,XRPUSDT_1h,0.5325084364454443,OUT-SAMPLE
MLPClassifier,BNBUSDT_1h,0.517800899887514,OUT-SAMPLE
MLPClassifier,SOLUSDT_1h,0.5222534683164605,OUT-SAMPLE
MLPClassifier,ADAUSDT_1h,0.5078927634045745,OUT-SAMPLE
MLPClassifier,TRXUSDT_1h,0.5316647919010122,OUT-SAMPLE
MLPClassifier,LINKUSDT_1h,0.5082770903637045,OUT-SAMPLE
MLPClassifier,AVAXUSDT_1h,0.5107330333708286,OUT-SAMPLE
MLPClassifier,BTCUSDT_1h,0.5202602442643534,FINAL-TEST
MLPClassifier,ETHUSDT_1h,0.5328158885971921,FINAL-TEST
MLPClassifier,XRPUSDT_1h,0.5257390708823194,FINAL-TEST
MLPClassifier,BNBUSDT_1h,0.5179773998402009,FINAL-TEST
MLPClassifier,SOLUSDT_1h,0.5239127953429974,FINAL-TEST
MLPClassifier,ADAUSDT_1h,0.5218582353612601,FINAL-TEST
MLPClassifier,TRXUSDT_1h,0.5075904577103071,FINAL-TEST
MLPClassifier,LINKUSDT_1h,0.5214016664764296,FINAL-TEST
MLPClassifier,AVAXUSDT_1h,0.5245976486702432,FINAL-TEST
