Frequency,Asset,Model,Accuracy,IN/OUT Sample
1d,LTCBTC_1d,MLPClassifier,0.6528662420382165,IN-SAMPLE
1d,BNBUSDT_1d,MLPClassifier,0.5694267515923567,IN-SAMPLE
1d,BNBBTC_1d,MLPClassifier,0.6484076433121019,IN-SAMPLE
1d,LTCUSDT_1d,MLPClassifier,0.5624203821656051,IN-SAMPLE
1d,ADABTC_1d,MLPClassifier,0.632484076433121,IN-SAMPLE
1d,ADAUSDT_1d,MLPClassifier,0.6770700636942675,IN-SAMPLE
1d,SOLUSDT_1d,MLPClassifier,0.5554140127388535,IN-SAMPLE
1d,SOLBTC_1d,MLPClassifier,0.6286624203821656,IN-SAMPLE
1d,BTCUSDT_1d,classification,0.7273885350318471,IN-SAMPLE
1d,LTCBTC_1d,classification,0.7707006369426752,IN-SAMPLE
1d,BNBUSDT_1d,classification,0.721656050955414,IN-SAMPLE
1d,BNBBTC_1d,classification,0.740764331210191,IN-SAMPLE
1d,LTCUSDT_1d,classification,0.7464968152866241,IN-SAMPLE
1d,ADABTC_1d,classification,0.7363057324840764,IN-SAMPLE
1d,ADAUSDT_1d,classification,0.6923566878980891,IN-SAMPLE
1d,SOLUSDT_1d,classification,0.6872611464968152,IN-SAMPLE
1d,SOLBTC_1d,classification,0.6815286624203821,IN-SAMPLE
1d,BTCUSDT_1d,MLPClassifier,0.9,OUT-SAMPLE
1d,LTCBTC_1d,MLPClassifier,0.95,OUT-SAMPLE
1d,BNBUSDT_1d,MLPClassifier,0.95,OUT-SAMPLE
1d,BNBBTC_1d,MLPClassifier,1.0,OUT-SAMPLE
1d,LTCUSDT_1d,MLPClassifier,1.0,OUT-SAMPLE
1d,ADABTC_1d,MLPClassifier,0.95,OUT-SAMPLE
1d,ADAUSDT_1d,MLPClassifier,1.0,OUT-SAMPLE
1d,SOLUSDT_1d,MLPClassifier,1.0,OUT-SAMPLE
1d,SOLBTC_1d,MLPClassifier,1.0,OUT-SAMPLE
1d,BTCUSDT_1d,BaggingClassifier,0.9,OUT-SAMPLE
1d,LTCBTC_1d,BaggingClassifier,0.7,OUT-SAMPLE
1d,BNBUSDT_1d,BaggingClassifier,0.95,OUT-SAMPLE
1d,BNBBTC_1d,BaggingClassifier,0.9,OUT-SAMPLE
1d,LTCUSDT_1d,BaggingClassifier,0.9,OUT-SAMPLE
1d,ADABTC_1d,BaggingClassifier,0.85,OUT-SAMPLE
1d,ADAUSDT_1d,BaggingClassifier,0.95,OUT-SAMPLE
1d,SOLUSDT_1d,BaggingClassifier,0.95,OUT-SAMPLE
1d,SOLBTC_1d,BaggingClassifier,0.95,OUT-SAMPLE
