Model,Asset,Accuracy,IN/OUT Sample
MLPClassifier,BTCUSDT_4h,0.5648138492022109,IN-SAMPLE
MLPClassifier,LTCBTC_4h,0.5503180727917405,IN-SAMPLE
MLPClassifier,BNBUSDT_4h,0.5564709563040985,IN-SAMPLE
MLPClassifier,BNBBTC_4h,0.5463551986651372,IN-SAMPLE
MLPClassifier,LTCUSDT_4h,0.5801439149024924,IN-SAMPLE
MLPClassifier,ADABTC_4h,0.5422880383773073,IN-SAMPLE
MLPClassifier,ADAUSDT_4h,0.5845239336740015,IN-SAMPLE
MLPClassifier,SOLUSDT_4h,0.5862967984148504,IN-SAMPLE
MLPClassifier,SOLBTC_4h,0.5398894566691,IN-SAMPLE
classification,BTCUSDT_4h,0.6143497757847534,IN-SAMPLE
classification,LTCBTC_4h,0.5899468140577745,IN-SAMPLE
classification,BNBUSDT_4h,0.6019397225988111,IN-SAMPLE
classification,BNBBTC_4h,0.5967254145374908,IN-SAMPLE
classification,LTCUSDT_4h,0.6210240901032433,IN-SAMPLE
classification,ADABTC_4h,0.6124726248826781,IN-SAMPLE
classification,ADAUSDT_4h,0.5960996975701325,IN-SAMPLE
classification,SOLUSDT_4h,0.6094483262071123,IN-SAMPLE
classification,SOLBTC_4h,0.60371258733966,IN-SAMPLE
MLPClassifier,BTCUSDT_4h,0.4444444444444444,OUT-SAMPLE
MLPClassifier,LTCBTC_4h,0.5555555555555555,OUT-SAMPLE
MLPClassifier,BNBUSDT_4h,0.5740740740740741,OUT-SAMPLE
MLPClassifier,BNBBTC_4h,0.5277777777777778,OUT-SAMPLE
MLPClassifier,LTCUSDT_4h,0.4722222222222222,OUT-SAMPLE
MLPClassifier,ADABTC_4h,0.6111111111111112,OUT-SAMPLE
MLPClassifier,ADAUSDT_4h,0.5740740740740741,OUT-SAMPLE
MLPClassifier,SOLUSDT_4h,0.5092592592592592,OUT-SAMPLE
MLPClassifier,SOLBTC_4h,0.4907407407407407,OUT-SAMPLE
BaggingClassifier,BTCUSDT_4h,0.4722222222222221,OUT-SAMPLE
BaggingClassifier,LTCBTC_4h,0.537037037037037,OUT-SAMPLE
BaggingClassifier,BNBUSDT_4h,0.574074074074074,OUT-SAMPLE
BaggingClassifier,BNBBTC_4h,0.4907407407407407,OUT-SAMPLE
BaggingClassifier,LTCUSDT_4h,0.574074074074074,OUT-SAMPLE
BaggingClassifier,ADABTC_4h,0.6018518518518517,OUT-SAMPLE
BaggingClassifier,ADAUSDT_4h,0.5833333333333333,OUT-SAMPLE
BaggingClassifier,SOLUSDT_4h,0.5833333333333333,OUT-SAMPLE
BaggingClassifier,SOLBTC_4h,0.5185185185185186,OUT-SAMPLE
