timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2024-02-05,1.46440000,1.66300000,1.43300000,1.57600000,71896899.90000000,1707177599999,112042374.10934000,313754,36913600.90000000,57583947.74509000,0
2024-02-06,1.57580000,1.61520000,1.51000000,1.51780000,53454617.50000000,1707263999999,82957436.58960000,229688,27668243.20000000,42958892.64920000,0
2024-02-07,1.51810000,1.56080000,1.48610000,1.54110000,52886300.60000000,1707350399999,80684769.72449000,255749,26651987.80000000,40676971.55078000,0
2024-02-08,1.54070000,1.58700000,1.50400000,1.52620000,42000939.70000000,1707436799999,64677760.05929000,180177,20895810.20000000,32187847.83059000,0
2024-02-09,1.52610000,1.80800000,1.51950000,1.76120000,90322002.00000000,1707523199999,151204960.74469000,408749,45061849.90000000,75419071.07996000,0
2024-02-10,1.76130000,1.81390000,1.69940000,1.73150000,54169291.50000000,1707609599999,94732845.23409000,256414,27249449.40000000,47651446.32132000,0
2024-02-11,1.73150000,1.79870000,1.67800000,1.69450000,41853407.50000000,1707695999999,72226521.16992000,197764,21078378.70000000,36391279.53412000,0
2024-02-12,1.69440000,1.82990000,1.68690000,1.76190000,72512722.90000000,1707782399999,127684314.06360000,329668,36033177.50000000,63477051.48496000,0
2024-02-13,1.76190000,1.87960000,1.72800000,1.85580000,74022290.10000000,1707868799999,133971330.34312000,344614,38047377.20000000,68832130.57333000,0
2024-02-14,1.85590000,1.97400000,1.81260000,1.90540000,56848795.90000000,1707955199999,107781445.15929000,284622,28943364.80000000,54888882.68653000,0
2024-02-15,1.90520000,1.94670000,1.82020000,1.86290000,57846445.20000000,1708041599999,108448176.44586000,290983,27617056.20000000,51763901.27020000,0
2024-02-16,1.86280000,1.88090000,1.74360000,1.80720000,43569712.30000000,1708127999999,78732282.30863000,225504,21642208.60000000,39100103.33273000,0
2024-02-17,1.80740000,1.81420000,1.70220000,1.76770000,39362421.80000000,1708214399999,69045570.49436000,174793,18866281.00000000,33082211.81197000,0
2024-02-18,1.76770000,1.81570000,1.73320000,1.79970000,42587814.40000000,1708300799999,75603903.99272000,184964,20254782.40000000,35962388.79642000,0
2024-02-19,1.79960000,1.83410000,1.73670000,1.77350000,43431578.80000000,1708387199999,77537610.11389000,212634,21449519.60000000,38295509.18939000,0
2024-02-20,1.77350000,1.77800000,1.61770000,1.71690000,59833249.90000000,1708473599999,101975825.23382000,279744,30139845.40000000,51342938.76147000,0
2024-02-21,1.71680000,1.72190000,1.61830000,1.69220000,52865348.80000000,1708559999999,88308806.06214000,241194,25694253.00000000,42912196.15492000,0
2024-02-22,1.69230000,1.77220000,1.63890000,1.71870000,80400800.10000000,1708646399999,136594110.20373000,281638,39003517.30000000,66249626.58207000,0
2024-02-23,1.71870000,1.74810000,1.56460000,1.60340000,71291577.40000000,1708732799999,117866357.23080000,280410,35490836.20000000,58662300.32842000,0
2024-02-24,1.60330000,1.66670000,1.55240000,1.63600000,43241028.40000000,1708819199999,70035068.62112000,163200,22344175.10000000,36205016.04226000,0
2024-02-25,1.63600000,1.65550000,1.61310000,1.64550000,26919210.40000000,1708905599999,43930932.96726000,125732,13694392.50000000,22349394.38046000,0
2024-02-26,1.64550000,1.71670000,1.57890000,1.67050000,51256819.10000000,1708991999999,84191853.42311000,204361,25857661.10000000,42493734.75840000,0
2024-02-27,1.67050000,1.70470000,1.56800000,1.61480000,66342323.70000000,1709078399999,108789540.48748000,248005,33630267.80000000,55172892.63985000,0
2024-02-28,1.61500000,1.71970000,1.37000000,1.58340000,96049071.40000000,1709164799999,154409126.95685000,461993,48013431.50000000,77255151.94899000,0
2024-02-29,1.58360000,1.71550000,1.56890000,1.67690000,81666912.10000000,1709251199999,134323855.88094000,379011,40869314.70000000,67226749.30918000,0
2024-03-01,1.67690000,1.74460000,1.65250000,1.69030000,48416699.90000000,1709337599999,82067475.59606000,229586,23958389.10000000,40612526.43228000,0
2024-03-02,1.69030000,1.69930000,1.58690000,1.62100000,64153784.10000000,1709423999999,105189512.18700000,294802,35659844.20000000,58431919.20685000,0
2024-03-03,1.62110000,1.62830000,1.42100000,1.55900000,47036955.90000000,1709510399999,73841078.14452000,266924,23088355.80000000,36282203.39930000,0
2024-03-04,1.55920000,1.59100000,1.43330000,1.48680000,68233882.40000000,1709596799999,102676661.18997000,393846,35700956.40000000,53768100.48043000,0
2024-03-05,1.48690000,1.58660000,1.21200000,1.39620000,134022202.50000000,1709683199999,198492348.41553000,784693,67099242.10000000,99786825.99028000,0
2024-03-06,1.39620000,1.50970000,1.35850000,1.47490000,96038560.80000000,1709769599999,138934826.83637000,446045,48092311.90000000,69589717.18209000,0
2024-03-07,1.47500000,1.62000000,1.47110000,1.57990000,87952748.60000000,1709855999999,135470292.44763000,409352,44893567.00000000,69222527.26666000,0
2024-03-08,1.58000000,1.60240000,1.45300000,1.54390000,61709636.90000000,1709942399999,95289286.70858000,288330,31474622.60000000,48592631.59360000,0
2024-03-09,1.54380000,1.67150000,1.51870000,1.58380000,75145803.80000000,1710028799999,119809179.08355000,281795,37795632.50000000,60288578.95903000,0
2024-03-10,1.58390000,1.65200000,1.51610000,1.55530000,58171870.90000000,1710115199999,92280920.47162000,230278,28466866.50000000,45173788.31263000,0
2024-03-11,1.55520000,1.59250000,1.47500000,1.57170000,61375310.30000000,1710201599999,94983374.00607000,272819,31398225.40000000,48597663.99285000,0
2024-03-12,1.57180000,1.63470000,1.43000000,1.59930000,87289396.50000000,1710287999999,135533385.41907000,401614,43897213.50000000,68191036.15627000,0
2024-03-13,1.59940000,1.69700000,1.57020000,1.62120000,69903768.90000000,1710374399999,113329486.46899000,274209,34653154.70000000,56194913.80249000,0
