Frequency,Asset,Model,Accuracy,IN/OUT Sample
4h,ETHUSDT_4h,MLP,0.5018686599038975,OUT-SAMPLE
4h,XRPUSDT_4h,MLP,0.5125467164975974,OUT-SAMPLE
4h,BNBUSDT_4h,MLP,0.4949279231179925,OUT-SAMPLE
4h,SOLUSDT_4h,MLP,0.5066737853710624,OUT-SAMPLE
4h,ADAUSDT_4h,MLP,0.5024025627335825,OUT-SAMPLE
4h,TRXUSDT_4h,MLP,0.5109450080085425,OUT-SAMPLE
4h,LINKUSDT_4h,MLP,0.4965296316070475,OUT-SAMPLE
4h,AVAXUSDT_4h,MLP,0.5040042712226375,OUT-SAMPLE
4h,BTCUSDT_4h,DNN,0.5306994127068874,OUT-SAMPLE
4h,ETHUSDT_4h,DNN,0.5146823278163374,OUT-SAMPLE
4h,XRPUSDT_4h,DNN,0.5173518419647624,OUT-SAMPLE
4h,BNBUSDT_4h,DNN,0.5077415910304325,OUT-SAMPLE
4h,SOLUSDT_4h,DNN,0.5242925787506674,OUT-SAMPLE
4h,ADAUSDT_4h,DNN,0.5264281900694073,OUT-SAMPLE
4h,TRXUSDT_4h,DNN,0.4831820608649226,OUT-SAMPLE
4h,LINKUSDT_4h,DNN,0.5029364655632674,OUT-SAMPLE
4h,AVAXUSDT_4h,DNN,0.4927923117992525,OUT-SAMPLE
1d,BTCUSDT_1d,OLS,0.5061093247588424,IN-SAMPLE
1d,ETHUSDT_1d,OLS,0.5189710610932476,IN-SAMPLE
1d,XRPUSDT_1d,OLS,0.5311897106109325,IN-SAMPLE
1d,BNBUSDT_1d,OLS,0.512540192926045,IN-SAMPLE
1d,SOLUSDT_1d,OLS,0.5016077170418006,IN-SAMPLE
1d,ADAUSDT_1d,OLS,0.5112540192926045,IN-SAMPLE
1d,TRXUSDT_1d,OLS,0.5266881028938907,IN-SAMPLE
1d,LINKUSDT_1d,OLS,0.5331189710610933,IN-SAMPLE
1d,AVAXUSDT_1d,OLS,0.509967845659164,IN-SAMPLE
1d,BTCUSDT_1d,MLP,0.6109324758842444,IN-SAMPLE
1d,ETHUSDT_1d,MLP,0.6038585209003215,IN-SAMPLE
1d,XRPUSDT_1d,MLP,0.5717041800643087,IN-SAMPLE
1d,BNBUSDT_1d,MLP,0.5459807073954984,IN-SAMPLE
1d,SOLUSDT_1d,MLP,0.639871382636656,IN-SAMPLE
1d,ADAUSDT_1d,MLP,0.5331189710610933,IN-SAMPLE
1d,TRXUSDT_1d,MLP,0.5498392282958199,IN-SAMPLE
1d,LINKUSDT_1d,MLP,0.5813504823151125,IN-SAMPLE
1d,AVAXUSDT_1d,MLP,0.5196141479099678,IN-SAMPLE
1d,BTCUSDT_1d,OLS,0.4823151125401929,OUT-SAMPLE
1d,ETHUSDT_1d,OLS,0.5080385852090032,OUT-SAMPLE
