Frequency,Asset,Model,Accuracy,IN/OUT Sample
1h,GLOBAL,MLPClassifier,0.5298481908457938,FINAL-TEST
4h,GLOBAL,MLPClassifier,0.513667021654242,FINAL-TEST
1d,GLOBAL,MLPClassifier,0.51578627808136,FINAL-TEST
