Model,Asset,Value,What
RandomForestClassifier,global,0.5090913580246913,ACC VALIDATION
RandomForestClassifier,global,0.4893294012344812,F1 VALIDATION
RandomForestClassifier,global,"{1: 0.5191111111111111, 0: 0.48088888888888887}",DESBALANCEO REAL VAL
RandomForestClassifier,global,"{0: 0.7057777777777777, 1: 0.2942222222222222}",DESBALANCEO PREDICCIÓN VAL
RandomForestClassifier,global,0.5125728395061728,ACC VALIDATION
RandomForestClassifier,global,0.5021371288758547,F1 VALIDATION
RandomForestClassifier,global,"{1: 0.5191111111111111, 0: 0.48088888888888887}",DESBALANCEO REAL VAL
RandomForestClassifier,global,"{0: 0.6391111111111111, 1: 0.36088888888888887}",DESBALANCEO PREDICCIÓN VAL
RandomForestClassifier,global,0.5140790123456791,ACC VALIDATION
RandomForestClassifier,global,0.5099880171020905,F1 VALIDATION
RandomForestClassifier,global,"{1: 0.5191111111111111, 0: 0.48088888888888887}",DESBALANCEO REAL VAL
RandomForestClassifier,global,"{0: 0.5706666666666667, 1: 0.42933333333333334}",DESBALANCEO PREDICCIÓN VAL
RandomForestClassifier,global,0.5128938271604938,ACC VALIDATION
RandomForestClassifier,global,0.510572399516162,F1 VALIDATION
RandomForestClassifier,global,"{1: 0.5191111111111111, 0: 0.48088888888888887}",DESBALANCEO REAL VAL
RandomForestClassifier,global,"{0: 0.5306666666666666, 1: 0.4693333333333333}",DESBALANCEO PREDICCIÓN VAL
RandomForestClassifier,global,0.5114074074074074,ACC VALIDATION
RandomForestClassifier,global,0.5007027831605465,F1 VALIDATION
RandomForestClassifier,global,"{1: 0.5191111111111111, 0: 0.48088888888888887}",DESBALANCEO REAL VAL
RandomForestClassifier,global,"{0: 0.6346666666666667, 1: 0.36533333333333334}",DESBALANCEO PREDICCIÓN VAL
RandomForestClassifier,global,0.5096839506172839,ACC VALIDATION
RandomForestClassifier,global,0.508072045444512,F1 VALIDATION
RandomForestClassifier,global,"{1: 0.5191111111111111, 0: 0.48088888888888887}",DESBALANCEO REAL VAL
RandomForestClassifier,global,"{0: 0.5271111111111111, 1: 0.4728888888888889}",DESBALANCEO PREDICCIÓN VAL
RandomForestClassifier,global,0.5165728395061728,ACC VALIDATION
RandomForestClassifier,global,0.5151777328672654,F1 VALIDATION
RandomForestClassifier,global,"{1: 0.5191111111111111, 0: 0.48088888888888887}",DESBALANCEO REAL VAL
RandomForestClassifier,global,"{0: 0.536, 1: 0.464}",DESBALANCEO PREDICCIÓN VAL
RandomForestClassifier,global,0.518962962962963,ACC VALIDATION
RandomForestClassifier,global,0.5158229637317663,F1 VALIDATION
RandomForestClassifier,global,"{1: 0.5191111111111111, 0: 0.48088888888888887}",DESBALANCEO REAL VAL
RandomForestClassifier,global,"{0: 0.5128888888888888, 1: 0.4871111111111111}",DESBALANCEO PREDICCIÓN VAL
RandomForestClassifier,global,0.5103308641975308,ACC VALIDATION
RandomForestClassifier,global,0.5092776640198254,F1 VALIDATION
RandomForestClassifier,global,"{1: 0.5191111111111111, 0: 0.48088888888888887}",DESBALANCEO REAL VAL
RandomForestClassifier,global,"{1: 0.5431111111111111, 0: 0.4568888888888889}",DESBALANCEO PREDICCIÓN VAL
RandomForestClassifier,global,0.49327901234567906,ACC VALIDATION
RandomForestClassifier,global,0.49309672343646527,F1 VALIDATION
RandomForestClassifier,global,"{1: 0.5191111111111111, 0: 0.48088888888888887}",DESBALANCEO REAL VAL
RandomForestClassifier,global,"{0: 0.5146666666666667, 1: 0.48533333333333334}",DESBALANCEO PREDICCIÓN VAL
RandomForestClassifier,global,0.5035245194989604,ACC FINAL TEST
RandomForestClassifier,global,0.503465491700956,F1 FINAL TEST
RandomForestClassifier,ADAUSDT_4h,0.49748973071656777,ACC CRYPTO TEST
RandomForestClassifier,ADAUSDT_4h,0.4974859622389174,F1 CRYPTO TEST
RandomForestClassifier,ADAUSDT_4h,"{1: 0.5020538566864445, 0: 0.49794614331355547}",DESBALANCEO REAL
RandomForestClassifier,ADAUSDT_4h,"{1: 0.5006846188954815, 0: 0.4993153811045185}",DESBALANCEO PREDICCIÓN
RandomForestClassifier,AVAXUSDT_4h,0.5079872204472844,ACC CRYPTO TEST
RandomForestClassifier,AVAXUSDT_4h,0.5077976389937799,F1 CRYPTO TEST
RandomForestClassifier,AVAXUSDT_4h,"{0: 0.5193975353719763, 1: 0.48060246462802375}",DESBALANCEO REAL
RandomForestClassifier,AVAXUSDT_4h,"{0: 0.5002282062984938, 1: 0.49977179370150615}",DESBALANCEO PREDICCIÓN
RandomForestClassifier,BNBUSDT_4h,0.5061615700593336,ACC CRYPTO TEST
RandomForestClassifier,BNBUSDT_4h,0.505971285149601,F1 CRYPTO TEST
RandomForestClassifier,BNBUSDT_4h,"{1: 0.5152898219990871, 0: 0.4847101780009128}",DESBALANCEO REAL
RandomForestClassifier,BNBUSDT_4h,"{1: 0.5043359196713829, 0: 0.4956640803286171}",DESBALANCEO PREDICCIÓN
RandomForestClassifier,BTCUSDT_4h,0.5047923322683706,ACC CRYPTO TEST
RandomForestClassifier,BTCUSDT_4h,0.5046433274008931,F1 CRYPTO TEST
RandomForestClassifier,BTCUSDT_4h,"{1: 0.5221360109539023, 0: 0.47786398904609767}",DESBALANCEO REAL
RandomForestClassifier,BTCUSDT_4h,"{0: 0.5047923322683706, 1: 0.4952076677316294}",DESBALANCEO PREDICCIÓN
RandomForestClassifier,ETHUSDT_4h,0.5093564582382474,ACC CRYPTO TEST
RandomForestClassifier,ETHUSDT_4h,0.5093302918092382,F1 CRYPTO TEST
