Model,Asset,Value,What
RandomForestClassifier,global,0.5106858710562414,ACC VALIDATION
RandomForestClassifier,global,0.5021627239651478,F1 VALIDATION
RandomForestClassifier,global,"{1: 0.6145404663923183, 0: 0.38545953360768176}",DESBALANCEO REAL VAL
RandomForestClassifier,global,"{0: 0.6268861454046639, 1: 0.3731138545953361}",DESBALANCEO PREDICCIÓN VAL
RandomForestClassifier,global,0.508161865569273,ACC VALIDATION
RandomForestClassifier,global,0.4921807471209406,F1 VALIDATION
RandomForestClassifier,global,"{1: 0.6145404663923183, 0: 0.38545953360768176}",DESBALANCEO REAL VAL
RandomForestClassifier,global,"{0: 0.6419753086419753, 1: 0.35802469135802467}",DESBALANCEO PREDICCIÓN VAL
RandomForestClassifier,global,0.5089300411522635,ACC VALIDATION
RandomForestClassifier,global,0.5080725128582602,F1 VALIDATION
RandomForestClassifier,global,"{1: 0.6145404663923183, 0: 0.38545953360768176}",DESBALANCEO REAL VAL
RandomForestClassifier,global,"{0: 0.6104252400548696, 1: 0.3895747599451303}",DESBALANCEO PREDICCIÓN VAL
RandomForestClassifier,global,0.50400548696845,ACC VALIDATION
RandomForestClassifier,global,0.5025018982963461,F1 VALIDATION
RandomForestClassifier,global,"{1: 0.6145404663923183, 0: 0.38545953360768176}",DESBALANCEO REAL VAL
RandomForestClassifier,global,"{0: 0.6364883401920439, 1: 0.3635116598079561}",DESBALANCEO PREDICCIÓN VAL
RandomForestClassifier,global,0.5024279835390947,ACC VALIDATION
RandomForestClassifier,global,0.5016968178227663,F1 VALIDATION
RandomForestClassifier,global,"{1: 0.6145404663923183, 0: 0.38545953360768176}",DESBALANCEO REAL VAL
RandomForestClassifier,global,"{0: 0.6611796982167353, 1: 0.3388203017832647}",DESBALANCEO PREDICCIÓN VAL
RandomForestClassifier,global,0.5004115226337449,ACC VALIDATION
RandomForestClassifier,global,0.4998763971717498,F1 VALIDATION
RandomForestClassifier,global,"{1: 0.6145404663923183, 0: 0.38545953360768176}",DESBALANCEO REAL VAL
RandomForestClassifier,global,"{0: 0.6255144032921811, 1: 0.37448559670781895}",DESBALANCEO PREDICCIÓN VAL
RandomForestClassifier,global,0.49816186556927305,ACC VALIDATION
RandomForestClassifier,global,0.4963903791220807,F1 VALIDATION
RandomForestClassifier,global,"{1: 0.6145404663923183, 0: 0.38545953360768176}",DESBALANCEO REAL VAL
RandomForestClassifier,global,"{0: 0.644718792866941, 1: 0.355281207133059}",DESBALANCEO PREDICCIÓN VAL
RandomForestClassifier,global,0.5062002743484225,ACC VALIDATION
RandomForestClassifier,global,0.5048403978477064,F1 VALIDATION
RandomForestClassifier,global,"{1: 0.6145404663923183, 0: 0.38545953360768176}",DESBALANCEO REAL VAL
RandomForestClassifier,global,"{0: 0.6186556927297668, 1: 0.3813443072702332}",DESBALANCEO PREDICCIÓN VAL
RandomForestClassifier,global,0.5062139917695474,ACC VALIDATION
RandomForestClassifier,global,0.5029865617157059,F1 VALIDATION
RandomForestClassifier,global,"{1: 0.6145404663923183, 0: 0.38545953360768176}",DESBALANCEO REAL VAL
RandomForestClassifier,global,"{0: 0.6556927297668038, 1: 0.3443072702331962}",DESBALANCEO PREDICCIÓN VAL
RandomForestClassifier,global,0.5150891632373114,ACC VALIDATION
RandomForestClassifier,global,0.5132012823382166,F1 VALIDATION
RandomForestClassifier,global,"{1: 0.6145404663923183, 0: 0.38545953360768176}",DESBALANCEO REAL VAL
RandomForestClassifier,global,"{1: 0.5089163237311386, 0: 0.49108367626886146}",DESBALANCEO PREDICCIÓN VAL
RandomForestClassifier,global,0.4996964177292046,ACC FINAL TEST
RandomForestClassifier,global,0.4991173560319664,F1 FINAL TEST
RandomForestClassifier,ADAUSDT_1d,0.4890710382513661,ACC CRYPTO TEST
RandomForestClassifier,ADAUSDT_1d,0.48821140947125197,F1 CRYPTO TEST
RandomForestClassifier,ADAUSDT_1d,"{0: 0.5081967213114754, 1: 0.4918032786885246}",DESBALANCEO REAL
RandomForestClassifier,ADAUSDT_1d,"{0: 0.5327868852459017, 1: 0.4672131147540984}",DESBALANCEO PREDICCIÓN
RandomForestClassifier,AVAXUSDT_1d,0.5,ACC CRYPTO TEST
RandomForestClassifier,AVAXUSDT_1d,0.4986489015307459,F1 CRYPTO TEST
RandomForestClassifier,AVAXUSDT_1d,"{0: 0.5382513661202186, 1: 0.46174863387978143}",DESBALANCEO REAL
RandomForestClassifier,AVAXUSDT_1d,"{0: 0.5136612021857924, 1: 0.48633879781420764}",DESBALANCEO PREDICCIÓN
RandomForestClassifier,BNBUSDT_1d,0.48360655737704916,ACC CRYPTO TEST
RandomForestClassifier,BNBUSDT_1d,0.47418190110600134,F1 CRYPTO TEST
